date,region,product_category,units_sold,unit_price,revenue,cost,profit,customer_segment,channel
2024-01-05,North,Electronics,42,299.99,12599.58,8819.71,3779.87,Enterprise,Online
2024-01-12,South,Electronics,38,249.99,9499.62,6649.73,2849.89,SMB,Retail
2024-01-15,West,Software,105,49.99,5248.95,1574.69,3674.27,Enterprise,Online
2024-01-20,East,Electronics,27,349.99,9449.73,6614.81,2834.92,Consumer,Online
2024-01-25,North,Services,15,999.00,14985.00,8991.00,5994.00,Enterprise,Direct
2024-02-02,South,Software,88,79.99,7039.12,2111.74,4927.38,SMB,Online
2024-02-08,West,Electronics,55,199.99,10999.45,7699.62,3299.84,Consumer,Retail
2024-02-14,East,Services,8,1499.00,11992.00,7195.20,4796.80,Enterprise,Direct
2024-02-18,North,Software,120,39.99,4798.80,1439.64,3359.16,Consumer,Online
2024-02-22,South,Electronics,33,449.99,14849.67,10394.77,4454.90,Enterprise,Online
2024-03-01,West,Services,22,749.00,16478.00,9886.80,6591.20,Enterprise,Direct
2024-03-07,East,Software,95,59.99,5699.05,1709.72,3989.34,SMB,Online
2024-03-12,North,Electronics,48,279.99,13439.52,9407.66,4031.86,Consumer,Retail
2024-03-18,South,Services,11,1199.00,13189.00,7913.40,5275.60,Enterprise,Direct
2024-03-24,West,Software,140,29.99,4198.60,1259.58,2939.02,Consumer,Online
2024-03-30,East,Electronics,30,329.99,9899.70,6929.79,2969.91,SMB,Retail
2024-04-05,North,Services,18,899.00,16182.00,9709.20,6472.80,Enterprise,Direct
2024-04-10,South,Electronics,60,189.99,11399.40,7979.58,3419.82,Consumer,Online
2024-04-15,West,Software,110,69.99,7698.90,2309.67,5389.23,Enterprise,Online
2024-04-20,East,Electronics,25,499.99,12499.75,8749.83,3749.93,Enterprise,Retail
2024-04-25,North,Software,75,89.99,6749.25,2024.78,4724.48,SMB,Online
2024-05-01,South,Services,14,1099.00,15386.00,9231.60,6154.40,Enterprise,Direct
2024-05-08,West,Electronics,44,259.99,11439.56,8007.69,3431.87,Consumer,Online
2024-05-14,East,Software,130,44.99,5848.70,1754.61,4094.09,Consumer,Online
2024-05-20,North,Electronics,36,399.99,14399.64,10079.75,4319.89,Enterprise,Retail
2024-05-25,South,Software,98,54.99,5389.02,1616.71,3772.31,SMB,Online
2024-06-02,West,Services,20,849.00,16980.00,10188.00,6792.00,Enterprise,Direct
2024-06-08,East,Electronics,52,219.99,11439.48,8007.64,3431.84,Consumer,Retail
2024-06-14,North,Software,115,74.99,8623.85,2587.16,6036.70,Enterprise,Online
2024-06-20,South,Services,9,1349.00,12141.00,7284.60,4856.40,Enterprise,Direct
2024-06-25,West,Electronics,40,309.99,12399.60,8679.72,3719.88,SMB,Online
2024-07-03,East,Software,85,64.99,5524.15,1657.25,3866.91,Consumer,Online
2024-07-10,North,Services,16,949.00,15184.00,9110.40,6073.60,Enterprise,Direct
2024-07-15,South,Electronics,45,289.99,13049.55,9134.69,3914.87,Consumer,Retail
2024-07-20,West,Software,125,34.99,4373.75,1312.13,3061.63,SMB,Online
2024-07-28,East,Electronics,28,379.99,10639.72,7447.80,3191.92,Enterprise,Online
2024-08-03,North,Electronics,50,269.99,13499.50,9449.65,4049.85,Consumer,Retail
2024-08-10,South,Services,12,1249.00,14988.00,8992.80,5995.20,Enterprise,Direct
2024-08-16,West,Software,100,84.99,8499.00,2549.70,5949.30,Enterprise,Online
2024-08-22,East,Electronics,35,239.99,8399.65,5879.76,2519.90,SMB,Online
2024-08-28,North,Software,90,49.99,4499.10,1349.73,3149.37,Consumer,Online
2024-09-04,South,Electronics,58,199.99,11599.42,8119.59,3479.83,Consumer,Retail
2024-09-10,West,Services,25,799.00,19975.00,11985.00,7990.00,Enterprise,Direct
2024-09-16,East,Software,135,42.99,5803.65,1741.10,4062.56,SMB,Online
2024-09-22,North,Electronics,32,359.99,11519.68,8063.78,3455.90,Enterprise,Online
2024-09-28,South,Software,105,59.99,6298.95,1889.69,4409.27,Enterprise,Online
2024-10-04,West,Electronics,47,249.99,11749.53,8224.67,3524.86,Consumer,Retail
2024-10-10,East,Services,10,1399.00,13990.00,8394.00,5596.00,Enterprise,Direct
2024-10-18,North,Software,80,94.99,7599.20,2279.76,5319.44,SMB,Online
2024-10-24,South,Electronics,42,319.99,13439.58,9407.71,4031.87,Enterprise,Online
